origin,origin_latitude,origin_longitude,destination,destination_latitude,destination_longitude,distance[m],duration[s]
鎌倉駅,35.32,139.55,鶴岡八幡宮,35.32,139.55,854,646
鎌倉駅,35.32,139.55,建長寺,35.33,139.55,1871,1472
鎌倉駅,35.32,139.55,長谷寺,35.31,139.53,1981,1516
鎌倉駅,35.32,139.55,由比ヶ浜海水浴場,35.31,139.54,1468,1108
鶴岡八幡宮,35.33,139.56,建長寺,35.33,139.55,743,610
鶴岡八幡宮,35.32,139.55,長谷寺,35.31,139.53,2687,2044
鶴岡八幡宮,35.32,139.55,由比ヶ浜海水浴場,35.31,139.54,2120,1603
建長寺,35.33,139.55,長谷寺,35.31,139.53,3788,2801
建長寺,35.33,139.55,由比ヶ浜海水浴場,35.31,139.54,3255,2384
長谷寺,35.31,139.53,由比ヶ浜海水浴場,35.31,139.54,1143,878
